crop,soil_type,pH_range,sowing_month,seed_rate_kg_per_acre,fertilizer_type,fertilizer_schedule,irrigation_freq_per_month,crop_duration_days,common_disease,treatment,expected_yield_quintal_per_acre
Chili,Alluvial,5.8 - 7.9,Dec,3.1,Urea,Top Dressing,2,150,Rust,No treatment needed,25.59
Beetroot,Black soil,6.8 - 7.6,Aug,26.6,DAP,Both,4,146,Root Rot,Use crop rotation,23.37
Pearl Millet,Clay,7.1 - 7.9,May,11.2,DAP,Both,8,164,Powdery Mildew,Use crop rotation,12.01
Grapes,Black soil,7.3 - 8.2,Jun,28.3,Urea,Basal,3,65,Leaf Spot,Use crop rotation,5.52
Mustard,Clay,5.7 - 8.3,Aug,14.1,Vermicompost,Both,5,103,Root Rot,Spray insecticide,14.62
Coriander,Black soil,6.7 - 7.7,Feb,9.7,DAP,Basal,3,165,No major disease,Spray insecticide,20.78
Pumpkin,Clay,7.2 - 8.3,Jun,27.3,NPK,Basal,8,150,Anthracnose,Apply neem extract,23.49
Bottle Gourd,Clay,5.6 - 8.2,Aug,25.8,Vermicompost,Basal,2,175,Stem Borer,Apply neem extract,26.32
Banana,Clay,5.8 - 8.0,Sep,30.0,Urea,Basal,2,104,Rust,Remove infected parts,24.04
Wheat,Loamy,5.5 - 8.3,Oct,7.6,DAP,Both,2,67,Rust,Use fungicide,22.68
Onion,Loamy,5.9 - 8.2,May,22.2,Compost,Top Dressing,7,86,Powdery Mildew,Use fungicide,5.55
Cotton,Black soil,7.0 - 7.8,Jul,3.0,DAP,Basal,8,63,Wilt,Spray insecticide,16.75
Sunflower,Loamy,6.8 - 8.2,Dec,24.2,Compost,Top Dressing,6,91,Root Rot,Remove infected parts,13.25
Green Gram,Sandy loam,6.0 - 8.4,Jan,13.7,Compost,Top Dressing,6,131,Blight,Use crop rotation,25.18
Chili,Black soil,6.4 - 8.3,Dec,7.6,Compost,Both,4,62,Rust,Use fungicide,32.72
Tea,Clay,6.6 - 8.2,Dec,18.6,DAP,Both,3,90,Root Rot,Spray insecticide,10.13
Apple,Clay,5.7 - 8.3,Apr,29.0,DAP,Basal,2,173,Blight,Spray insecticide,15.02
Sweet Corn,Alluvial,6.0 - 7.7,Jan,4.9,Vermicompost,Top Dressing,8,170,Rust,Remove infected parts,6.88
Chili,Sandy loam,7.4 - 7.8,Aug,9.9,Compost,Both,2,100,Rust,Remove infected parts,28.26
Tea,Alluvial,6.8 - 7.9,Aug,11.8,Vermicompost,Both,2,143,No major disease,Spray insecticide,22.56
Coriander,Loamy,7.1 - 7.9,Sep,14.4,Urea,Top Dressing,6,139,Downy Mildew,No treatment needed,33.13
Okra,Loamy,5.9 - 7.8,May,13.4,NPK,Basal,2,175,Root Rot,Remove infected parts,32.11
Sweet Corn,Sandy loam,6.0 - 8.1,Nov,14.1,DAP,Basal,7,155,Root Rot,Use crop rotation,19.82
Potato,Clay,5.6 - 8.3,Jul,23.1,DAP,Top Dressing,5,178,Downy Mildew,Remove infected parts,18.2
Pigeon Pea,Clay,5.7 - 7.9,May,12.4,Vermicompost,Basal,2,157,Downy Mildew,Spray insecticide,23.28
Tomato,Black soil,5.7 - 8.4,May,19.5,NPK,Basal,8,71,Anthracnose,No treatment needed,17.78
Chickpea,Sandy loam,6.4 - 7.6,Sep,21.3,Compost,Both,5,108,Blight,Spray insecticide,21.01
Orange,Alluvial,6.7 - 7.9,Dec,7.7,Urea,Basal,6,152,Stem Borer,Use fungicide,29.54
Potato,Loamy,5.7 - 8.3,Sep,9.0,Vermicompost,Both,7,75,Leaf Spot,No treatment needed,13.41
Lemon,Clay,6.7 - 8.0,May,5.8,DAP,Top Dressing,4,62,Root Rot,Use crop rotation,15.19
Rice,Sandy loam,6.3 - 8.4,Apr,16.6,DAP,Basal,3,67,Wilt,Apply neem extract,18.74
Black Gram,Clay,7.2 - 8.2,Aug,11.9,NPK,Top Dressing,7,89,Blight,Remove infected parts,5.37
Orange,Black soil,7.5 - 8.1,Mar,22.7,Vermicompost,Basal,6,109,Rust,Apply neem extract,17.42
Barley,Alluvial,6.8 - 7.6,Jan,20.1,Urea,Top Dressing,8,103,No major disease,Spray insecticide,23.97
Ginger,Loamy,7.0 - 8.1,Jun,4.2,Compost,Basal,5,97,Stem Borer,Spray insecticide,32.08
Carrot,Loamy,5.6 - 8.0,Oct,24.0,Compost,Both,8,92,Rust,No treatment needed,14.2
Rice,Clay,6.4 - 8.1,Sep,7.6,DAP,Both,4,114,Leaf Spot,Use fungicide,19.03
Pigeon Pea,Sandy loam,6.0 - 8.4,May,22.9,NPK,Both,6,106,Powdery Mildew,Use crop rotation,27.4
Sweet Corn,Loamy,5.8 - 8.1,Jul,14.2,Vermicompost,Basal,5,165,Leaf Spot,Apply neem extract,6.45
Cotton,Black soil,7.0 - 7.6,Mar,14.9,DAP,Basal,6,153,Downy Mildew,Spray insecticide,19.41
Chili,Alluvial,5.8 - 8.3,Apr,8.6,Urea,Both,4,147,Rust,Spray insecticide,6.58
Coffee,Alluvial,6.3 - 7.9,May,21.8,DAP,Basal,2,111,Stem Borer,No treatment needed,5.99
Chickpea,Loamy,5.8 - 8.2,Aug,29.7,NPK,Basal,6,123,Anthracnose,Remove infected parts,24.84
Cotton,Alluvial,7.0 - 8.1,Nov,4.0,Urea,Top Dressing,4,134,Stem Borer,No treatment needed,19.34
Barley,Black soil,7.1 - 8.1,Oct,9.8,Vermicompost,Basal,4,140,Blight,No treatment needed,8.71
Turmeric,Sandy loam,7.5 - 7.7,Mar,8.5,Compost,Top Dressing,8,134,Root Rot,Remove infected parts,23.87
Turmeric,Clay,5.5 - 8.5,Apr,21.8,DAP,Top Dressing,6,138,Anthracnose,Use crop rotation,11.76
Tea,Clay,7.4 - 7.7,Nov,4.4,Compost,Both,8,167,Stem Borer,Remove infected parts,13.89
Pineapple,Loamy,7.4 - 8.0,Apr,23.7,DAP,Both,8,121,Blight,Use fungicide,7.02
Mustard,Loamy,7.5 - 8.5,Nov,16.8,DAP,Top Dressing,8,175,Wilt,Apply neem extract,17.74
Grapes,Loamy,5.6 - 7.7,Jul,9.8,Urea,Basal,4,72,Stem Borer,Spray insecticide,27.95
Sesame,Sandy loam,5.7 - 8.0,Apr,16.0,DAP,Both,4,114,Wilt,Apply neem extract,23.36
Okra,Loamy,6.3 - 8.3,Mar,19.3,Compost,Top Dressing,5,96,Rust,Remove infected parts,22.88
Mustard,Loamy,5.6 - 7.9,Aug,21.6,Urea,Basal,5,171,Root Rot,Apply neem extract,33.06
Carrot,Black soil,6.3 - 8.1,Aug,24.9,DAP,Basal,2,119,Wilt,Use crop rotation,11.15
Turmeric,Sandy loam,6.8 - 8.4,Sep,4.5,NPK,Top Dressing,3,121,Rust,Spray insecticide,15.18
Chickpea,Clay,6.3 - 8.1,Jul,14.8,Vermicompost,Top Dressing,6,171,Downy Mildew,Use fungicide,14.17
Soybean,Black soil,6.2 - 8.1,Jan,3.5,Compost,Basal,2,132,Wilt,Spray insecticide,15.21
Brinjal,Loamy,6.3 - 8.3,Jun,25.8,Urea,Both,6,159,Blight,Spray insecticide,12.65
Garlic,Black soil,6.8 - 7.7,Jun,17.1,Urea,Basal,5,150,Blight,Remove infected parts,9.25
Sesame,Sandy loam,7.2 - 8.3,Aug,5.3,Compost,Both,3,178,Rust,Remove infected parts,8.36
Sorghum,Loamy,5.8 - 8.4,Apr,15.7,Compost,Basal,4,160,Blight,Spray insecticide,30.11
Sesame,Black soil,5.7 - 7.7,Dec,20.3,Compost,Both,5,153,Anthracnose,Use crop rotation,5.8
Finger Millet,Loamy,7.1 - 7.8,Feb,12.7,Vermicompost,Basal,6,174,Blight,Use crop rotation,20.69
Carrot,Alluvial,6.3 - 8.4,Jul,3.4,DAP,Basal,3,162,Root Rot,Spray insecticide,26.79
Guava,Alluvial,6.4 - 7.7,Apr,26.2,Vermicompost,Top Dressing,8,61,Rust,Use crop rotation,24.03
Garlic,Loamy,6.9 - 7.9,Sep,3.7,NPK,Both,4,97,No major disease,Spray insecticide,5.08
Guava,Black soil,6.4 - 8.3,Sep,11.3,NPK,Basal,2,175,No major disease,Apply neem extract,6.02
Lemon,Alluvial,6.9 - 7.7,Nov,22.1,Vermicompost,Top Dressing,4,135,Blight,Apply neem extract,17.5
Coffee,Alluvial,7.2 - 8.1,Sep,20.3,Vermicompost,Basal,6,150,Blight,Apply neem extract,33.75
Okra,Clay,7.0 - 7.9,Mar,26.7,Urea,Basal,4,153,No major disease,Spray insecticide,29.54
Wheat,Loamy,5.7 - 7.8,Jul,6.4,Compost,Basal,3,83,Downy Mildew,Use crop rotation,26.28
